YearC,Lat,Lon,Eff1Type,SumOfEff1
2011,30,0,NO.HOOKS,488132
2011,30,1,NO.HOOKS,52800
2011,30,5,NO.HOOKS,1109848
2011,30,10,NO.HOOKS,901074
2011,30,12,NO.HOOKS,8600
2011,30,13,NO.HOOKS,5600
2011,30,14,NO.HOOKS,25700
2011,30,15,NO.HOOKS,38569
2011,31,14,NO.HOOKS,6400
2011,31,15,NO.HOOKS,12450
2011,31,16,NO.HOOKS,1500
2011,32,14,NO.HOOKS,6850
2011,32,15,NO.HOOKS,37350
2011,32,16,NO.HOOKS,8750
2011,33,13,NO.HOOKS,1500
2011,33,14,NO.HOOKS,6750
2011,33,15,NO.HOOKS,6324
2011,33,16,NO.HOOKS,8250
2011,33,17,NO.HOOKS,1100
2011,34,13,NO.HOOKS,1100
2011,34,14,NO.HOOKS,3300
2011,34,15,NO.HOOKS,5500
2011,34,16,NO.HOOKS,1100
2011,34,17,NO.HOOKS,32350
2011,34,18,NO.HOOKS,64350
2011,34,19,NO.HOOKS,1000
2011,35,0,NO.HOOKS,767862
2011,35,5,NO.HOOKS,718772
2011,35,10,NO.HOOKS,1145708
2011,35,14,NO.HOOKS,2400
2011,35,15,NO.HOOKS,348806
2011,35,16,NO.HOOKS,3800
2011,35,17,NO.HOOKS,31750
2011,35,18,NO.HOOKS,128900
2011,35,19,NO.HOOKS,107300
2011,36,15,NO.HOOKS,1500
2011,36,16,NO.HOOKS,2900
2011,36,17,NO.HOOKS,7350
2011,36,18,NO.HOOKS,54825
2011,36,19,NO.HOOKS,126795
2011,37,17,NO.HOOKS,3700
2011,37,18,NO.HOOKS,7250
2011,37,19,NO.HOOKS,26600
2011,38,17,NO.HOOKS,3000
2011,38,18,NO.HOOKS,6600
2011,38,19,NO.HOOKS,2900
2011,39,19,NO.HOOKS,1100
2011,40,0,NO.HOOKS,349990
2011,40,5,NO.HOOKS,118868
2011,40,10,NO.HOOKS,44762
2011,40,15,NO.HOOKS,505218
2011,45,0,NO.HOOKS,77792
2011,45,5,NO.HOOKS,9845
2012,0,0,NO.HOOKS,1640821
2012,0,5,NO.HOOKS,1573494
2012,0,10,NO.HOOKS,366382
2012,5,0,NO.HOOKS,911966
2012,5,5,NO.HOOKS,2885161
2012,5,10,NO.HOOKS,831530
2012,10,0,NO.HOOKS,1776759
2012,10,5,NO.HOOKS,807932
2012,10,10,NO.HOOKS,480137
2012,15,0,NO.HOOKS,3372637
2012,15,5,NO.HOOKS,4665655
2012,15,10,NO.HOOKS,514097
2012,20,0,NO.HOOKS,3420818
2012,20,5,NO.HOOKS,1143046
2012,20,10,NO.HOOKS,331953
2012,25,0,NO.HOOKS,864020
2012,25,5,NO.HOOKS,937102
2012,25,10,NO.HOOKS,982054
2012,26,6,NO.HOOKS,11400
2012,26,7,NO.HOOKS,2800
2012,26,8,NO.HOOKS,4200
2012,26,9,NO.HOOKS,2800
2012,26,10,NO.HOOKS,4200
2012,27,10,NO.HOOKS,2800
2012,28,8,NO.HOOKS,2800
2012,28,9,NO.HOOKS,1400
2012,28,10,NO.HOOKS,1400
2012,28,11,NO.HOOKS,2800
2012,29,9,NO.HOOKS,1400
2012,29,10,NO.HOOKS,1400
2012,29,11,NO.HOOKS,2800
2012,30,0,NO.HOOKS,639776
2012,30,5,NO.HOOKS,424746
2012,30,10,NO.HOOKS,1770883
2012,30,12,NO.HOOKS,13200
2012,30,13,NO.HOOKS,16800
2012,30,14,NO.HOOKS,24240
2012,30,15,NO.HOOKS,5240
2012,31,11,NO.HOOKS,2500
2012,31,12,NO.HOOKS,4050
2012,31,13,NO.HOOKS,14050
2012,31,14,NO.HOOKS,11900
2012,31,15,NO.HOOKS,18090
2012,31,16,NO.HOOKS,1350
2012,32,13,NO.HOOKS,3700
2012,32,14,NO.HOOKS,4800
2012,32,15,NO.HOOKS,7100
2012,32,16,NO.HOOKS,1350
2012,33,13,NO.HOOKS,6900
2012,33,14,NO.HOOKS,2600
2012,33,16,NO.HOOKS,11800
2012,33,17,NO.HOOKS,3200
2012,34,10,NO.HOOKS,4800
2012,34,11,NO.HOOKS,2400
2012,34,12,NO.HOOKS,4600
2012,34,13,NO.HOOKS,2300
2012,34,14,NO.HOOKS,1500
2012,34,16,NO.HOOKS,4182
2012,34,17,NO.HOOKS,12050
2012,34,18,NO.HOOKS,41295
2012,35,0,NO.HOOKS,714090
2012,35,5,NO.HOOKS,556950
2012,35,10,NO.HOOKS,1313897
2012,35,15,NO.HOOKS,209621
2012,35,16,NO.HOOKS,2600
2012,35,17,NO.HOOKS,4380
2012,35,18,NO.HOOKS,27500
2012,35,19,NO.HOOKS,31600
2012,36,14,NO.HOOKS,2245
2012,36,17,NO.HOOKS,4250
2012,36,18,NO.HOOKS,8450
2012,36,19,NO.HOOKS,29580
