Year,Month,Day,LAT,LON,DURATION,HOOKS_SET
2010,1,26,21,12,4.833333333,18000
2005,11,27,21,12,4.333333333,32000
2001,2,12,21,12,9,19200
2016,2,17,21,12,3.116666667,18000
2016,1,23,21,12,5.266666667,18000
2012,6,2,21,12,5.05,18000
2016,7,19,21,12,6.333333333,18000
2016,12,3,21,12,4.866666667,18000
2016,12,2,21,12,4.833333333,18000
2010,2,7,20,12,6.883333333,18000
2015,8,8,20,12,6.416666667,18000
2016,8,18,26,13,6.95,18000
2010,2,17,25,13,3.816666667,18000
2014,4,11,25,13,6.766666667,18000
2014,8,31,25,13,6.933333333,18000
2014,4,1,24,13,3.533333333,18000
2013,4,23,24,13,6.616666667,18000
2012,6,24,24,13,6.716666667,18000
2011,9,15,23,13,5.65,18000
2014,4,21,23,13,5.933333333,18000
2011,12,2,23,13,5.433333333,18000
2010,5,24,26,14,6.466666667,18000
2003,7,9,22,12,7.983333333,10300
2003,12,14,21,12,7.666666667,23040
2002,9,30,21,12,9.733333333,10240
2013,3,24,22,12,4.1,18000
2016,3,6,22,12,6.866666667,18000
2016,3,8,22,12,6,18000
2016,9,4,21,12,8.666666667,18000
2016,6,24,21,12,6.833333333,18000
2016,7,4,21,12,6.533333333,18000
2010,1,27,21,12,5.916666667,18000
2002,3,5,21,12,7.866666667,19200
2016,2,18,21,12,6.483333333,18000
2016,2,21,21,12,6.05,18000
2016,1,25,21,12,5.133333333,18000
2016,1,16,21,12,7,18000
2016,1,24,21,12,6.4,18000
2013,11,28,21,12,1.05,18000
2016,12,1,21,12,6.55,18000
2015,1,16,21,12,11,18000
2016,7,2,20,12,5.466666667,18000
2010,4,21,26,13,6.65,18000
2014,1,6,25,13,7,18000
2013,4,14,24,13,7.483333333,18000
2014,3,22,24,13,2.916666667,18000
2001,11,18,24,13,7.583333333,19200
2014,1,16,24,13,6.933333333,18000
2014,2,8,24,13,6.066666667,18000
2014,2,5,24,13,8.366666667,18000
2014,1,31,24,13,6.233333333,18000
2013,2,13,23,13,6.733333333,18000
2011,11,8,23,13,5.9,18000
2011,9,14,23,13,6,18000
2013,2,23,23,13,6.966666667,18000
2015,2,10,23,13,6.883333333,18000
2014,12,14,23,13,6.816666667,18000
2014,12,15,23,13,6.616666667,18000
2010,8,20,22,13,5.816666667,18000
2013,3,23,22,13,5.966666667,18000
2007,2,1,22,12,5.166666667,18000
2003,3,6,21,12,7.366666667,10240
2005,10,24,23,13,9.5,26000
2006,6,2,22,13,5.5,30000
2006,6,3,22,13,6,30000
2009,9,30,19,11,20.05,18000
2012,7,28,19,11,5.783333333,18000
2001,4,5,22,12,8,19200
2012,11,20,21,12,6.883333333,18000
2011,8,21,21,12,6.316666667,18000
2010,1,12,21,12,7.116666667,18000
2000,11,12,21,12,8,19200
2016,2,2,21,12,6.45,18000
2015,1,6,21,12,5.233333333,18000
2015,1,8,21,12,6.85,18000
2015,1,9,21,12,6.8,18000
2016,12,14,21,12,4.683333333,18000
2014,6,22,20,12,6.533333333,18000
2014,6,23,20,12,6.85,18000
2016,7,1,20,12,6.5,18000
2003,12,12,20,12,8.616666667,11264
2015,7,17,20,12,6.733333333,18000
2016,8,19,25,13,6.3,18000
2014,3,23,24,13,6.833333333,18000
2011,11,9,23,13,5.95,18000
2010,7,6,23,13,6.5,18000
2003,6,11,23,13,6.833333333,11200
2014,12,6,23,13,6.966666667,18000
2011,6,8,22,13,6.183333333,18000
2014,11,19,22,12,2,18000
2001,9,27,23,13,6.933333333,19200
2001,9,26,23,13,8.7,19250
2003,6,8,23,13,11.9,10300
2016,5,24,22,12,4.916666667,18000
2003,3,17,22,12,14.45,8320
2010,12,11,21,12,6,18000
2010,9,22,21,12,5.85,18000
2016,9,3,21,12,6.2,18000
2016,4,8,21,12,14,18000
2002,9,30,21,12,5.05,10240
2016,1,26,21,12,6.866666667,18000
2016,11,17,21,12,6,18000
2011,11,18,24,13,4.983333333,18000
2013,4,26,24,13,5.866666667,18000
2015,2,19,24,13,7.15,18000
2015,2,20,24,13,6.833333333,18000
2014,2,2,24,13,6.85,18000
2010,7,5,23,13,6.133333333,18000
2010,7,8,23,13,6.6,18000
2013,8,28,23,13,6.5,18000
2002,1,26,23,13,8.55,19200
2010,4,26,23,13,6.433333333,18000
2015,4,24,23,13,4.1,18000
2016,2,9,23,13,4.416666667,18000
2011,5,27,22,13,6.866666667,18000
2010,7,21,22,13,5.133333333,18000
2012,6,15,26,14,6.55,18000
2012,6,14,26,14,6.516666667,18000
2013,2,1,22,12,7.25,18000
2013,1,24,22,12,5.166666667,18000
2007,1,30,22,12,7,18000
2015,3,8,22,12,7,18000
2013,2,7,21,12,3.383333333,18000
2010,12,12,21,12,5.5,18000
2010,12,1,21,12,5.766666667,18000
2010,1,13,21,12,7.283333333,18000
2007,11,15,21,12,5.816666667,18000
2007,1,31,21,12,5,18000
2007,2,6,21,12,5,18000
2003,3,7,21,12,9.316666667,11392
2003,3,9,21,12,6.25,8960
2015,3,23,21,12,6.85,18000
2015,7,26,21,12,6.383333333,18000
2015,3,24,21,12,6.6,18000
2012,3,29,21,12,6.483333333,18000
2012,6,3,21,12,6.733333333,18000
2012,3,31,21,12,6.516666667,18000
2007,2,9,20,12,5,18000
2001,5,5,20,12,8,19200
2001,5,16,20,12,8,19200
2003,12,13,20,12,7.65,11264
2016,7,24,20,12,6.566666667,18000
2014,9,1,25,13,6.9,18000
2013,12,9,25,13,6.65,9500
2014,1,26,25,13,6.833333333,18000
2014,1,5,25,13,7,18000
2011,7,17,24,13,5.2,18000
2012,5,12,24,13,6.4,18000
2014,4,9,24,13,4.133333333,18000
2014,11,4,24,13,6.75,18000
2014,11,13,24,13,6.733333333,18000
2014,9,22,24,13,6.283333333,18000
2002,1,29,23,13,9.166666667,19200
2001,1,9,23,13,8,19200
2014,12,19,23,13,6.683333333,18000
2013,2,18,22,13,7.183333333,18000
2013,2,14,22,13,7.133333333,18000
2009,3,6,22,13,6,18000
2007,2,24,22,13,6.166666667,18000
2007,3,10,22,13,7.25,18000
2007,3,8,22,13,5.666666667,18000
2006,6,1,22,13,7.833333333,30000
2001,10,25,22,13,6.95,19200
2011,12,4,22,13,6.083333333,18000
2014,2,13,22,13,6.733333333,18000
2000,11,12,21,13,8,19200
2012,6,16,26,14,5.9,18000
2000,9,21,23,12,8,19200
2013,1,27,22,12,7.116666667,18000
2001,10,24,22,12,7.683333333,19200
2001,11,14,22,12,8.416666667,19200
2003,11,3,22,12,6.966666667,11776
2003,11,3,22,12,6.966666667,11776
2010,9,29,21,12,5.966666667,18000
2011,8,20,21,12,5.95,18000
2013,9,6,21,12,4.766666667,18000
2010,2,6,21,12,7,18000
2007,11,16,21,12,7,18000
2003,2,23,21,12,6.75,20480
2003,3,9,21,12,10.91666667,8960
2010,1,18,20,12,19.45,18000
2010,6,5,20,12,6.666666667,18000
2001,5,15,20,12,8,19200
2014,8,22,20,12,6.8,18000
2013,12,16,26,13,6.65,18000
2013,12,8,25,13,10.83333333,9000
2013,4,13,24,13,6.783333333,18000
2013,4,25,24,13,7.133333333,18000
2011,9,6,24,13,5.183333333,18000
2010,8,10,23,13,11.16666667,18000
2010,11,8,23,13,2.633333333,18000
2002,5,26,23,13,7.583333333,22576
2003,7,15,23,13,7.466666667,11200
2015,2,11,23,13,6.566666667,18000
2014,12,22,22,13,6.483333333,18000
2013,12,2,22,13,3.366666667,18000
2016,9,21,21,12,7.333333333,19320
2005,10,29,21,12,6.666666667,32000
2012,8,9,20,12,6.5,18720
2003,11,2,22,12,2.816666667,11776
2003,11,2,22,12,7.816666667,11776
2002,6,1,22,12,12.25,11400
2003,3,7,22,12,14.73333333,10112
2015,6,20,22,12,3.2,18000
2010,9,20,21,12,6.333333333,18000
2010,9,21,21,12,5.85,18000
2010,9,27,21,12,6,18000
2010,9,19,21,12,6.4,18000
2010,9,28,21,12,5.9,18000
2016,6,23,21,12,6.75,18000
2010,1,10,21,12,13.6,18000
2003,3,8,21,12,9.866666667,21504
2016,2,20,21,12,6.55,18000
2012,9,1,21,12,6.5,18000
2012,9,2,21,12,6.5,18000
2016,11,16,21,12,6.666666667,18000
2016,11,30,21,12,2.583333333,18000
2001,5,14,20,12,8,19200
2002,7,20,20,12,11.93333333,10500
2015,7,18,20,12,6.766666667,18000
2012,6,6,20,12,6.5,18000
2014,1,24,25,13,5.216666667,18000
2002,1,7,24,13,8.45,19200
2002,6,5,24,13,9.666666667,22400
2005,4,19,24,13,8,21375
